SVM_Linear,KNN,LinearDiscriminant,DecisionTree,RandomForest,AdaBoost,SVM_Gauss,LogisticRegression
1.193296132,0.73993074,0.644341784,0.066681564,0.166666667,0.282546679,-1.089508928,0.668609237
0.679558033,0.289925892,0.604248066,0,0.433333333,-0.10295426,-0.898558801,0.601510454
-3.034448175,0.179946877,0.017848631,0.931011367,0.733333333,-0.005645765,0.088017437,0.013955766
0.615711774,0.299924416,0.549566547,0.727201326,0.133333333,-0.690422024,-0.826222077,0.54848186
-1.276768936,0.080017621,0.2241331,0.01581718,0,-1.659997585,-0.987374296,0.149046872
-0.003168597,0.169949217,0.552218201,1,0.466666667,-0.465459625,-0.647165683,0.65859511
1.487337793,0.479910157,0.717430594,0.068942409,0.15,0.383390039,-0.80996497,0.721741754
0.529249159,0.41005791,0.556603578,0.214326023,0.333333333,0.224359453,-0.469091635,0.546419217
1.19051488,0.609914364,0.697400207,0.333253349,0.266666667,0.400672875,-0.936549802,0.738807212
1.905597975,0.729929048,0.8237668,0.958318958,0.766666667,0.239666618,0.690684405,0.854486601
2.223128654,0.719927428,0.823397541,0.166699918,0.533333333,-0.572713216,-0.170723529,0.863157264
0.836733064,0.600057452,0.574433609,0.068942409,0.3,0.48379112,-0.201687603,0.575361841
-0.741155786,0.210039718,0.302410056,0.615441274,0.066666667,-0.447624673,-0.986094812,0.344070496
-0.923584912,0.129959295,0.304370504,0.034234672,0.033333333,-0.355910364,-0.997372802,0.276596577
0.193065583,0.289925892,0.460044297,0.10716576,0.166666667,-0.295834002,-0.951943837,0.471033362
-0.991725631,0.110082315,0.273201334,0.087349941,0.233333333,-0.624662776,-0.805737993,0.295115222
-0.199274306,0.379915199,0.477431884,0,0.016666667,-0.532314084,-0.978564155,0.46688543
0.924730795,0.640193636,0.600534607,0.844020415,0.25,0.202029783,-0.443778967,0.605574721
-3.061643203,0.270047186,0.027930109,1,0.933333333,0.679335284,0.798292922,0.042335229
-0.500497092,0.210039718,0.320862799,0.009716822,0,-1.069398104,-1.001536912,0.317861332
-0.407107631,0.4802098,0.350816732,0.021497803,0.1,-0.540024853,-0.894091918,0.323908213
-0.992785012,0.099967609,0.185382396,0,0.133333333,-1.044124965,-0.946214778,0.202260627
-0.916529013,0.250044888,0.370021836,0.113171416,0.133333333,-0.932262057,-0.903866484,0.391554602
